State,navigate_to_loc_0,navigate_to_loc_1,navigate_to_loc_2,navigate_to_loc_3,navigate_to_loc_4,pick_toy,place_toy
"(1, 1, 3, 0, 4)",0,0,0,0,0,0,0
"(2, 4, 4, 1, 2)",0,0,0,0,0,0,0
"(0, 1, 3, 2, 2)",0,0,0,0,0,0,0
"(3, 1, 4, 5, 2)",0,0,0,0,0,0,0
"(0, 2, 3, 3, 0)",0,0,0,0,0,0,0
"(4, 4, 2, 2, 5)",0,0,0,0,0,0,0
"(1, 1, 2, 1, 0)",0,0,0,0,0,0,0
"(2, 1, 4, 1, 2)",0,0,0,0,0,0,0
"(3, 0, 3, 0, 4)",0,0,0,0,0,0,0
"(1, 2, 3, 1, 4)",-0.01,0,0,0,0,0,0
"(0, 4, 3, 5, 3)",0,0,0,0,0,0,0
"(4, 3, 4, 2, 2)",0,0,0,0,0,0,0
"(0, 0, 5, 5, 4)",0,0,0,0,0,0,0
"(4, 1, 1, 5, 0)",0,0,0,0,0,0,0
"(3, 4, 0, 2, 1)",0,0,0,0,0,0,0
"(3, 3, 3, 4, 1)",0,0,0,0,0,0,0
"(0, 0, 0, 1, 4)",0,0,0,0,0,0,0
"(3, 3, 3, 3, 5)",0,0,0,0,0,0,0
"(0, 4, 3, 1, 5)",0,0,0,0,0,0,0
"(1, 0, 1, 4, 1)",0,0,0,0,0,0,0
"(2, 3, 1, 5, 5)",0,0,0,0,0,0,0
"(2, 5, 2, 4, 4)",0,0,0,0,0,0,0
"(4, 5, 0, 2, 4)",0,0,0,0,0,0,0
"(4, 1, 1, 1, 2)",0,0,0,0,0,0,0
"(0, 4, 2, 2, 1)",0,0,0,0,0,0,0
"(3, 2, 2, 4, 5)",0,0,0,0,0,0,0
"(3, 1, 0, 2, 5)",-0.0199,-0.01,-0.01,-0.02,-0.01,-0.02,-0.01
"(0, 3, 5, 1, 2)",-0.02,-0.0199,-0.0199,-0.03,-0.0199,-0.02,-0.01
"(1, 0, 1, 0, 3)",0,0,0,0,0,0,0
"(2, 5, 5, 4, 1)",0,0,0,0,0,0,0
"(1, 1, 1, 5, 3)",0,0,0,0,0,0,0
"(0, 1, 2, 4, 0)",0,0,0,0,0,0,0
"(4, 5, 3, 1, 5)",0,0,0,0,0,0,0
"(2, 3, 2, 2, 1)",0,0,0,0,0,0,0
"(4, 0, 3, 4, 4)",0,0,0,0,0,0,0
"(4, 3, 0, 0, 1)",0,0,0,0,0,0,0
"(3, 2, 1, 1, 3)",0,0,0,0,0,0,0
"(3, 0, 2, 2, 2)",0,0,0,0,0,0,0
"(2, 1, 1, 4, 2)",0,0,0,0,0,0,0
"(0, 4, 5, 2, 2)",0,0,0,0,0,0,0
"(3, 5, 1, 4, 0)",0,0,0,0,0,0,0
"(1, 5, 2, 2, 5)",0,0,0,0,0,0,0
"(3, 3, 5, 1, 0)",0,0,0,0,0,0,0
"(3, 3, 5, 0, 4)",0,0,0,0,0,0,0
"(1, 0, 4, 0, 4)",0,0,0,0,0,0,0
"(4, 1, 2, 2, 5)",0,0,0,0,0,0,0
"(2, 2, 4, 5, 3)",-0.030095,0,0,0,0,0,0
"(2, 4, 0, 1, 0)",0,0,0,0,0,0,0
"(3, 5, 5, 0, 0)",0,0,0,0,0,0,0
"(4, 3, 3, 0, 2)",0,0,0,0,0,0,0
"(3, 5, 5, 3, 5)",0,0,0,0,0,0,0
"(1, 3, 2, 0, 2)",0,0,0,0,0,0,0
"(0, 0, 3, 4, 0)",0,0,0,0,0,0,0
"(3, 5, 4, 4, 1)",0,0,0,0,0,0,0
"(0, 5, 3, 2, 1)",-0.02,-0.0199,-0.0199,-0.01,-0.01,-0.02,-0.01
"(2, 5, 0, 2, 0)",0,0,0,0,0,0,0
"(3, 2, 0, 2, 1)",0,0,0,0,0,0,0
"(4, 1, 4, 3, 2)",0,0,0,0,0,0,0
"(2, 4, 3, 1, 1)",0,0,0,0,0,0,0
"(3, 1, 3, 5, 1)",0,0,0,0,0,0,0
"(4, 4, 1, 2, 4)",0,0,0,0,0,0,0
"(1, 2, 2, 0, 3)",0,0,0,0,0,0,0
"(2, 4, 2, 5, 2)",0,0,0,0,0,0,0
"(4, 2, 1, 4, 1)",0,0,0,0,0,0,0
"(4, 5, 1, 0, 1)",0,0,0,0,0,0,0
"(4, 4, 4, 2, 1)",0,0,0,0,0,0,0
"(0, 4, 4, 0, 2)",0,0,0,0,0,0,0
"(0, 2, 5, 2, 0)",0,0,0,0,0,0,0
"(1, 1, 4, 0, 0)",0,0,0,0,0,0,0
"(0, 1, 5, 2, 2)",0,0,0,0,0,0,0
"(2, 3, 0, 5, 4)",0,0,0,0,0,0,0
"(4, 1, 0, 1, 1)",0,0,0,0,0,0,0
"(1, 4, 3, 0, 2)",0,0,0,0,0,0,0
"(4, 0, 2, 3, 3)",0,0,0,0,0,0,0
"(1, 1, 0, 5, 2)",-0.03,-0.02,-0.01,-0.02,0,-0.0398,-0.0199
"(3, 2, 4, 4, 1)",0,0,0,0,0,0,0
"(0, 3, 2, 4, 1)",0,0,0,0,0,0,0
"(2, 1, 0, 3, 1)",0,0,0,0,0,0,0
"(4, 1, 3, 0, 2)",-0.01,-0.01,-0.03,0,0,-0.02,0
