State,<function navigate_to_loc_0 at 0x7f041de5f430>,<function navigate_to_loc_4 at 0x7f041de5f670>,<function navigate_to_loc_1 at 0x7f041de5f4c0>,<function place_toy at 0x7f041de5f700>,<function navigate_to_loc_2 at 0x7f041de5f550>,<function pick_toy at 0x7f041de5f790>,<function navigate_to_loc_3 at 0x7f041de5f5e0>
"(4, 1, 0, 2, 3)",0,0,0,0,0,0,0
"(3, 0, 2, 1, 3)",0,0,0,0,0,0,0
"(2, 2, 0, 1, 3)",0,0,0,0,0,0,0
"(0, 0, 1, 3, 2)",0,0,0,0,0,0,0
"(3, 1, 0, 3, 2)",0,0,0,0,0,0,0
"(1, 3, 0, 2, 1)",0,0,0,0,0,0,0
"(3, 3, 0, 1, 2)",0,0,0,0,0,0,0
"(3, 2, 3, 1, 0)",0,0,0,0,0,0,0
"(1, 3, 0, 1, 2)",0,0,0,0,0,0,0
"(2, 0, 3, 2, 1)",0,0,0,0,0,0,0
"(2, 3, 2, 1, 0)",0,0,0,0,0,0,0
"(3, 2, 0, 1, 3)",0,0,0,0,0,0,0
"(1, 1, 2, 0, 3)",0,0,0,0,0,0,0
"(1, 0, 1, 2, 3)",0,0,0,0,0,0,0
"(4, 1, 2, 0, 3)",0,0,0,0,0,0,0
"(1, 2, 0, 1, 3)",0,0,0,0,0,0,0
"(2, 3, 1, 2, 0)",0,0,0,0,0,0,0
"(4, 3, 0, 2, 1)",0,0,0,0,0,0,0
"(3, 0, 1, 3, 2)",0,0,0,0,0,0,0
"(4, 2, 0, 1, 3)",0,0,0,0,0,0,0
"(0, 2, 0, 3, 1)",0,0,0,0,0,0,0
"(0, 2, 3, 1, 0)",0,0,0,0,0,0,0
"(0, 0, 3, 2, 1)",0,0,0,0,0,0,0
"(1, 0, 3, 2, 1)",0,0,0,0,0,0,0
"(2, 0, 1, 2, 3)",0,0,0,0,0,0,0
"(2, 0, 1, 3, 2)",0,0,0,0,0,0,0
"(0, 2, 0, 1, 3)",0,0,0,0,0,0,0
"(0, 3, 0, 2, 1)",0,0,0,0,0,0,0
"(4, 3, 1, 2, 0)",0,0,0,0,0,0,0
"(0, 1, 0, 2, 3)",0,0,0,0,0,0,0
"(0, 1, 0, 3, 2)",0,0,0,0,0,0,0
"(0, 0, 3, 1, 2)",0,0,0,0,0,0,0
"(2, 1, 0, 2, 3)",0,0,0,0,0,0,0
"(3, 1, 2, 0, 3)",0,0,0,0,0,0,0
"(2, 1, 0, 3, 2)",0,0,0,0,0,0,0
"(2, 1, 3, 2, 0)",0,0,0,0,0,0,0
"(4, 3, 1, 0, 2)",0,0,0,0,0,0,0
"(0, 2, 1, 3, 0)",0,0,0,0,0,0,0
"(3, 1, 3, 2, 0)",0,0,0,0,0,0,0
"(2, 2, 3, 1, 0)",0,0,0,0,0,0,0
"(0, 3, 1, 0, 2)",0,0,0,0,0,0,0
"(4, 3, 2, 0, 1)",0,0,0,0,0,0,0
"(2, 1, 3, 0, 2)",0,0,0,0,0,0,0
"(3, 0, 3, 1, 2)",0,0,0,0,0,0,0
"(4, 2, 1, 3, 0)",0,0,0,0,0,0,0
"(1, 0, 2, 3, 1)",0,0,0,0,0,0,0
"(1, 3, 1, 2, 0)",0,0,0,0,0,0,0
"(2, 0, 3, 1, 2)",0,0,0,0,0,0,0
"(1, 3, 1, 0, 2)",0,0,0,0,0,0,0
"(0, 2, 1, 0, 3)",0,0,0,0,0,0,0
"(3, 0, 1, 2, 3)",0,0,0,0,0,0,0
"(4, 0, 1, 3, 2)",0,0,0,0,0,0,0
"(2, 2, 1, 3, 0)",0,0,0,0,0,0,0
"(2, 3, 1, 0, 2)",0,0,0,0,0,0,0
"(0, 2, 3, 0, 1)",0,0,0,0,0,0,0
"(4, 0, 1, 2, 3)",0,0,0,0,0,0,0
"(2, 1, 2, 3, 0)",0,0,0,0,0,0,0
"(3, 3, 2, 0, 1)",0,0,0,0,0,0,0
"(3, 3, 2, 1, 0)",0,0,0,0,0,0,0
"(4, 0, 2, 3, 1)",0,0,0,0,0,0,0
"(1, 1, 3, 2, 0)",0,0,0,0,0,0,0
"(0, 3, 0, 1, 2)",0,0,0,0,0,0,0
"(2, 2, 1, 0, 3)",0,0,0,0,0,0,0
"(0, 1, 2, 3, 0)",0,0,0,0,0,0,0
"(1, 2, 0, 3, 1)",0,0,0,0,0,0,0
"(3, 0, 3, 2, 1)",0,0,0,0,0,0,0
"(3, 2, 1, 0, 3)",0,0,0,0,0,0,0
"(4, 1, 3, 2, 0)",0,0,0,0,0,0,0
"(1, 2, 1, 3, 0)",0,0,0,0,0,0,0
"(1, 2, 3, 1, 0)",0,0,0,0,0,0,0
"(2, 2, 3, 0, 1)",0,0,0,0,0,0,0
"(0, 1, 2, 0, 3)",0,0,0,0,0,0,0
"(4, 1, 3, 0, 2)",0,0,0,0,0,0,0
"(1, 3, 2, 1, 0)",0,0,0,0,0,0,0
"(3, 1, 3, 0, 2)",0,0,0,0,0,0,0
"(2, 3, 0, 1, 2)",0,0,0,0,0,0,0
"(2, 3, 0, 2, 1)",0,0,0,0,0,0,0
"(4, 0, 3, 2, 1)",0,0,0,0,0,0,0
"(2, 2, 0, 3, 1)",0,0,0,0,0,0,0
"(3, 3, 1, 2, 0)",0,0,0,0,0,0,0
"(1, 0, 2, 1, 3)",0,0,0,0,0,0,0
"(1, 2, 1, 0, 3)",0,0,0,0,0,0,0
"(3, 3, 0, 2, 1)",0,0,0,0,0,0,0
"(4, 1, 0, 3, 2)",0,0,0,0,0,0,0
"(4, 2, 1, 0, 3)",0,0,0,0,0,0,0
"(3, 3, 1, 0, 2)",0,0,0,0,0,0,0
"(0, 3, 1, 2, 0)",0,0,0,0,0,0,0
"(1, 1, 2, 3, 0)",0,0,0,0,0,0,0
"(3, 2, 1, 3, 0)",0,0,0,0,0,0,0
"(4, 1, 2, 3, 0)",0,0,0,0,0,0,0
"(0, 3, 2, 1, 0)",0,0,0,0,0,0,0
